Time,hr,Xacc,Zacc,Yacc,Xg,Zg,Yg
0,96,1.915361285,-9.438709259,3.186682701,0.026052231,-0.068919219,-0.012345011
0.02,,2.049436808,-9.309422493,3.157952309,0.050529409,-0.076368794,-0.021923037
0.04,,2.087743998,-9.122674942,3.100491524,0.043079834,-0.047634713,-0.012345011
0.06,,2.015918016,-9.065214157,3.172317505,0.047336731,-0.021029089,-0.011280786
0.08,,2.245761395,-9.103521347,3.215413094,0.043079834,-0.009322613,0.007875266
0.1,,1.963245273,-9.175347328,3.363853693,0.007960404,0.009833439,0.018517518
0.12,,2.059013605,-9.247173309,3.22977829,-0.005874522,0.008769213,0.001489915
0.14,,1.963245273,-9.299845695,3.311181307,-0.004810297,0.010897665,-0.005959661
0.16,,2.011129618,-9.175347328,3.234566689,-0.011195648,0.016218789,-0.016601911
0.18,,2.025494814,-9.151405334,3.11485672,-0.014388323,0.016218789,-0.022987261
0.2,,1.910572886,-9.323787689,3.224989891,-0.031415924,0.016218789,-0.031501062
0.22,,2.049436808,-9.39561367,3.330334902,-0.045250852,-0.002937262,-0.042143315
0.24,,2.063802004,-9.228019714,3.15316391,-0.06759958,0.000255413,0.00042569
0.26,,1.929726481,-9.304634094,3.234566689,-0.083562955,-0.004001487,0.015324841
0.28,,1.977610469,-9.290268898,3.234566689,-0.108040124,-0.001873037,0.008939491
0.3,,1.89620769,-9.31899929,3.224989891,-0.110168576,-0.008258387,-0.007023886
0.32,,1.924938083,-9.242384911,3.124433517,-0.137838438,-0.023157537,0.010003716
0.34,,1.97282207,-9.386036873,3.081337929,-0.137838438,-0.025285989,-0.00383121
0.36,,2.03986001,-9.520112038,3.090914726,-0.121875048,-0.03805669,0.007875266
0.38,,2.059013605,-9.58714962,3.07654953,-0.108040124,-0.049763165,0.024902867
0.4,,1.97282207,-9.558419228,3.090914726,-0.095269427,-0.073176116,0.033416666
0.42,,2.011129618,-9.419555664,2.947262526,-0.071856484,-0.080625691,0.03235244
0.44,,2.212242365,-9.477016449,2.918532133,-0.015452549,-0.078497246,0.012132166
0.46,,2.149993181,-9.333364487,2.899378538,0.047336731,-0.05295584,-0.005959661
0.48,,2.279280186,-9.050848961,2.947262526,0.057978984,-0.024221763,-0.005959661
0.5,,2.236184597,-8.998176575,2.999934912,0.029244907,0.006640764,0.018517518
0.52,,2.082955599,-9.228019714,2.999934912,0.009024629,0.018347241,0.020645967
0.54,,2.059013605,-9.381248474,3.014300108,0.012217305,0.031117942,0.012132166
0.56,,2.025494814,-9.295057297,2.952050924,0.033501808,0.039631743,0.014260616
0.58,,2.054225206,-9.271115303,2.956839323,0.039887156,0.044952869,0.011067941
0.6,,2.025494814,-9.180135727,3.124433517,0.01966688,0.048145544,0.005746815
0.62,,2.102109194,-9.314210892,3.090914726,-0.000553397,0.042824417,0.00042569
0.64,,1.963245273,-9.309422493,3.215413094,-0.020773673,0.050273992,0.040866241
0.66,,1.838746905,-9.304634094,3.167529106,-0.068663806,0.034310617,0.03235244
0.68,,1.786074519,-9.496170044,3.248931885,-0.099526331,0.01409034,0.00468259
0.7,,1.800439715,-9.558419228,3.086126328,-0.085691407,0.001319638,-0.033629514
0.72,,2.025494814,-9.386036873,3.03824234,-0.0473793,-0.008258387,-0.04959289
0.74,,2.159569979,-9.496170044,2.932897329,0.001575054,-0.001873037,-0.042143315
0.76,,2.020706415,-9.462651253,2.975992918,0.006896179,0.006640764,-0.024051486
0.78,,2.121262789,-9.35730648,3.019088507,0.01753843,-0.005065712,-0.020858811
0.8,,2.087743998,-9.204077721,2.937685728,0.022859555,0.009833439,-0.027244162
0.82,,2.073378801,-9.295057297,2.971204519,0.026052231,0.01409034,-0.014473462
0.84,,2.035071611,-9.280692101,3.066972733,0.012217305,0.016218789,-0.004895436
0.86,,1.996764302,-9.309422493,3.066972733,-0.000553397,0.01409034,0.005746815
0.88,,2.020706415,-9.304634094,3.019088507,-0.003746072,0.003448089,-0.000638535
0.9,,2.068590403,-9.491381645,2.995146513,-0.008002972,0.003448089,-0.000638535
0.92,,1.905784488,-9.338152885,2.990358114,-0.008002972,-0.005065712,-0.000638535
0.94,,1.958456874,-9.347729683,2.995146513,-0.019709449,-0.001873037,-0.025115712
0.96,,1.747767329,-9.477016449,3.100491524,-0.0516362,-0.017836414,-0.045335989
0.98,,1.881842494,-9.644611359,3.00472331,-0.049507752,-0.03805669,-0.082583867
1,96.66666667,2.044648409,-9.524900436,2.904166937,0.026052231,-0.041249365,-0.103868373
1.02,,1.891419291,-9.175347328,2.875436544,0.073942363,-0.014643738,-0.107061043
1.04,,1.987187266,-9.213654518,3.014300108,0.090969965,-0.002937262,-0.104932599
1.06,,1.996764302,-9.314210892,3.086126328,0.051593635,-0.014643738,-0.100675695
1.08,,1.987187266,-9.362094879,2.985569715,0.016474206,-0.021029089,-0.095354572
1.1,,2.063802004,-9.429132462,2.947262526,0.031373356,-0.025285989,-0.086840771
1.12,,2.073378801,-9.505746841,2.956839323,0.056914758,-0.040185139,-0.061299369
