Time,Xacc,hr,Zacc,Yacc,Xg,Zg,Yg
0,9.62469101,86,-0.168360263,0.351948023,0.139924318,-0.017666137,-0.060405418
0.02,9.686940193,,-0.053438589,0.342371196,0.042015608,-0.008088111,-0.018900638
0.04,9.81143856,,-0.0678038,0.25139156,-0.011195648,0.00468259,0.030053716
0.06,9.658209801,,-0.144418254,0.217872694,-0.034608599,0.023838643,0.054530896
0.08,9.658209801,,0.023175865,0.088585809,-0.091012523,0.024902867,0.084329195
0.1,9.375694275,,0.176404774,0.203507498,-0.240004048,0.038737793,0.126898199
0.12,9.332598686,,0.19077,0.241814718,-0.439014137,0.053636946,0.159889176
0.14,9.270349503,,-0.264128327,0.237026319,-0.61673969,0.036609344,0.181173682
0.16,9.552865028,,-0.709449887,0.323217601,-0.634831548,0.016389066,0.195008606
0.18,9.610325813,,-1.087733746,0.304063976,-0.519895256,-0.021923037,0.180109456
0.2,9.84974575,,-1.073368549,0.260968357,-0.385802895,-0.059170917,0.154568046
0.22,10.03649426,,-0.843525171,0.395043641,-0.283637285,-0.080455415,0.13754046
0.24,9.988610268,,-0.747757077,0.418985665,-0.254903197,-0.081519641,0.124769747
0.26,9.878476143,,-0.819583178,0.371101618,-0.252774745,-0.085776545,0.0970999
0.28,9.840168953,,-1.020696044,0.557849348,-0.218719542,-0.081519641,0.061980471
0.3,9.730035782,,-0.95844686,0.557849348,-0.131453082,-0.091097668,0.013026114
0.32,9.749189377,,-0.881832361,0.43813929,-0.014388323,-0.095354572,-0.029542889
0.34,9.844957352,,-0.666354179,0.47644648,0.023923781,-0.095354572,-0.032735564
0.36,10.08437824,,-0.752545476,0.390255243,0.028180681,-0.075134292,-0.024221763
0.38,10.02212906,,-0.493971705,0.256179959,-0.025030572,-0.028308386,-0.012515288
0.4,10.02691746,,-0.25455153,0.222661123,-0.098462105,-0.00383121,0.038567517
0.42,9.969456673,,-0.321589172,0.308852375,-0.187857017,0.012132166,0.035374843
0.44,9.706093788,,-0.484394908,0.280121952,-0.246389404,0.016389066,0.030053716
0.46,9.758766174,,-0.604104996,0.165200263,-0.272995025,0.028095543,0.037503295
0.48,9.576807022,,-0.73818028,0.0646438,-0.31982094,0.029159768,0.025796816
0.5,9.686940193,,-0.833948374,0.155623466,-0.332591653,0.030223994,0.008769213
0.52,9.81143856,,-0.872255564,0.165200263,-0.311307132,0.027031319,-0.001873037
0.54,9.97903347,,-0.781275868,0.174777076,-0.307050228,0.027031319,0.001319638
0.56,9.868899345,,-0.613681793,0.184353888,-0.312371373,0.046187367,-0.006129937
0.58,9.739612579,,-0.436510861,0.203507498,-0.362389952,0.046187367,-0.009322613
0.6,9.787496567,,-0.25455153,0.270545155,-0.443271041,0.034480892,-0.035928238
0.62,9.768342972,,-0.331165969,0.275333554,-0.526280582,0.039802019,-0.045506265
0.64,9.605537415,,-0.666354179,0.385466844,-0.558207333,0.040866241,-0.068919219
0.66,9.691728592,,-0.934504867,0.275333554,-0.537987053,0.027031319,-0.092332169
0.68,9.725247383,,-1.097310543,0.395043641,-0.417729646,0.027031319,-0.126387373
0.7,9.710882187,,-1.217020631,0.275333554,-0.295343757,0.012132166,-0.111488223
0.72,9.763554573,,-1.18350184,0.189142287,-0.178278983,-0.007023886,-0.094460621
0.74,9.797073364,,-1.22180903,0.208295897,-0.077177599,-0.012345011,-0.081689917
0.76,9.883264542,,-1.087733746,0.198719099,-0.080370277,-0.033629514,-0.034864016
